"Time", "controlBus.chassisBus.longitudinalVelocity|km/h", "controlBus.chassisBus.longitudinalAcceleration|m/s2", "controlBus.batteryBus_1.SOC"
"47.2", "-0.008530696", "7.18E-16", "0.97"
"47.3", "-0.008530696", "-6.69E-16", "0.97"
"47.4", "-0.008530696", "-8.55E-16", "0.97"
"47.5", "-0.008530696", "5.40E-16", "0.97"
"47.6", "-0.008530696", "-1.66E-15", "0.97"
"47.7", "-0.008530696", "8.58E-16", "0.97"
"47.8", "-0.008530696", "-3.75E-15", "0.97"
"47.9", "-0.008530696", "-3.26E-15", "0.97"
"48", "-0.008530696", "-2.38E-15", "0.97"
"48.1", "-0.008530696", "-1.17E-15", "0.97"
"48.2", "-0.008530696", "-4.90E-15", "0.97"
